,region,% underweight,% normal,% overweight,% obese,% morbidly obese,% overweight (25+),% obese (30+),year,age_group
27,Eastern,1.8134888,35.515903,32.895573,25.921568,3.8534644,62.67061,29.775032,2017,16+
28,London,2.0882437,38.821323,34.843193,22.12523,2.122008,59.09043,24.247238,2017,16+
29,South East,1.26068,34.57975,35.37613,24.147558,4.635883,64.15957,28.783442,2017,16+
30,South West,1.118472,36.42576,35.22191,24.211533,3.0223286,62.455772,27.233862,2017,16+
31,England,1.5769603,34.11277,35.57637,28.733898,3.553999,67.864265,32.2879,2017,16+
32,England,,,13.0,,,30.0,17.0,2017,2to15
33,North East,2.3287334,31.858065,36.56061,25.749516,3.5030744,65.8132,29.25259,2016,16+
34,North West and Merseyside,1.9357556,34.795963,35.64463,24.348927,3.2747238,63.26828,27.62365,2016,16+
35,Yorkshire and the Humber,0.71042943,29.177801,38.14854,28.515766,3.4474602,70.11177,31.963226,2016,16+
36,East Midlands,0.67130613,34.503407,35.62895,25.47326,3.723078,64.82529,29.196339,2016,16+
37,West Midlands,1.9568198,28.04198,36.60319,29.125923,4.272084,70.0012,33.398006,2016,16+
38,Eastern,1.8134888,35.515903,32.895573,25.921568,3.8534644,62.67061,29.775032,2016,16+
39,London,2.0882437,38.821323,34.843193,22.12523,2.122008,59.09043,24.247238,2016,16+
40,South East,1.26068,34.57975,35.37613,24.147558,4.635883,64.15957,28.783442,2016,16+
41,South West,1.118472,36.42576,35.22191,24.211533,3.0223286,62.455772,27.233862,2016,16+
42,England,2.0662932,36.542343,35.20759,26.183777,2.8894277,64.28079,29.073204,2016,16+
43,England,,,12.0,,,28.226059,16.0,2016,2to15
44,North East,,,,,,68.65693,34.09976,2015,16+
45,North West and Merseyside,,,,,,66.07106,29.550465,2015,16+
46,Yorkshire and the Humber,,,,,,64.21664,28.422194,2015,16+
47,East Midlands,,,,,,66.875755,27.656828,2015,16+
48,West Midlands,,,,,,67.61381,30.502756,2015,16+
49,Eastern,,,,,,62.14406,25.780594,2015,16+
50,London,,,,,,56.94491,23.243416,2015,16+
51,South East,,,,,,60.696827,25.08762,2015,16+
52,South West,,,,,,58.89248,21.74644,2015,16+
53,England,2.1833224,34.90638,36.053944,26.856356,2.9017353,65.812035,29.758091,2015,16+
54,England,,,14.206895,,,28.226059,14.019164,2015,2to15
55,Scotland,1.3,30.5,37.7,26.2,4.4,68.2,30.6,2019,16+
56,Scotland,1.7,31.2,37.3,26.0,3.8,67.1,29.7,2018,16+
57,Scotland,1.2,30.0,37.6,27.9,3.4,68.8,31.3,2017,16+
58,Scotland,1.4,31.6,36.4,26.7,4.0,67.0,30.6,2016,16+
59,Scotland,1.2,30.7,37.4,27.4,3.3,68.1,30.7,2015,16+
60,Scotland,1.6,67.7,14.3,6.7,9.7,30.7,16.4,2019,2to15
61,Scotland,1.7,69.0,12.9,6.4,9.9,29.3,16.3,2018,2to15
62,Scotland,1.1,72.0,12.7,5.9,8.3,26.9,14.2,2017,2to15
63,Scotland,1.2,69.4,15.3,7.1,7.1,29.4,14.1,2016,2to15
64,Scotland,0.8,71.2,12.8,5.7,9.4,27.9,15.1,2015,2to15
65,Wales,1.6,38.7,35.7,21.9,2.1,59.7,24.0,2019,16+
66,Wales,1.8,37.3,38.0,20.6,2.3,60.9,22.9,2018,16+
67,Wales,2.0,38.4,36.9,20.5,2.2,59.6,22.7,2017,16+
68,Wales,,,,,,,,2016,16+
69,Wales,,,,,,,,2015,16+
70,Northern Ireland,1.7234538,36.573338,36.752132,22.722157,2.228921,61.70321,24.951077,2019,16+
71,Northern Ireland,1.5317774,34.35589,37.714027,23.663305,2.735,64.112335,26.398306,2018,16+
72,Northern Ireland,1.5308217,36.29568,35.168354,24.205032,2.8001118,62.173496,27.005144,2017,16+
73,Northern Ireland,1.4346166,37.57469,34.611942,24.032179,2.346568,60.990692,26.378746,2016,16+
74,Northern Ireland,1.7307706,37.232315,36.081966,22.229643,2.7253032,61.03691,24.954947,2015,16+
